,REF_DATE,GEO,DGUID,New housing price indexes,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
1415,1981-12,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1416,1981-12,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,36.0,
1417,1981-12,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,39.3,
1418,1981-12,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,27.8,E
1527,1982-01,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.4,
1528,1982-01,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
1529,1982-01,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1533,1982-01,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.5,
1534,1982-01,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.3,
1535,1982-01,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1536,1982-01,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.3,
1537,1982-01,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
1538,1982-01,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
1647,1982-02,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.4,
1648,1982-02,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.6,
1649,1982-02,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.0,E
1653,1982-02,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
1654,1982-02,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
1655,1982-02,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1656,1982-02,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.2,
1657,1982-02,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
1658,1982-02,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
1767,1982-03,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,29.9,
1768,1982-03,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.8,
1769,1982-03,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,19.9,E
1773,1982-03,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
1774,1982-03,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
1775,1982-03,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1776,1982-03,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.1,
1777,1982-03,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,37.8,
1778,1982-03,"Saskatoon, Saskatchewan",2011S0503725,Land only,"Index, 201612=100",units,v111955540,28.2,E
1887,1982-04,"Winnipeg, Manitoba",2011S0503602,Total (house and land),"Index, 201612=100",units,v111955529,30.2,
1888,1982-04,"Winnipeg, Manitoba",2011S0503602,House only,"Index, 201612=100",units,v111955530,33.9,
1889,1982-04,"Winnipeg, Manitoba",2011S0503602,Land only,"Index, 201612=100",units,v111955531,21.2,E
1893,1982-04,"Regina, Saskatchewan",2011S0503705,Total (house and land),"Index, 201612=100",units,v111955535,22.6,
1894,1982-04,"Regina, Saskatchewan",2011S0503705,House only,"Index, 201612=100",units,v111955536,23.5,
1895,1982-04,"Regina, Saskatchewan",2011S0503705,Land only,"Index, 201612=100",units,v111955537,19.6,E
1896,1982-04,"Saskatoon, Saskatchewan",2011S0503725,Total (house and land),"Index, 201612=100",units,v111955538,35.2,
1897,1982-04,"Saskatoon, Saskatchewan",2011S0503725,House only,"Index, 201612=100",units,v111955539,38.0,
