,DATE,PLACE,PLOT,VALUE,MONTH
1185,1981-10-01,"Edmonton, Alberta",Total (house and land),37.7,10
1191,1981-10-01,"Kelowna, British Columbia",Total (house and land),,10
1194,1981-10-01,"Vancouver, British Columbia",Total (house and land),82.4,10
1197,1981-10-01,"Victoria, British Columbia",Total (house and land),124.9,10
1206,1981-11-01,Newfoundland and Labrador,Total (house and land),,11
1209,1981-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),37.1,11
1212,1981-11-01,Prince Edward Island,Total (house and land),,11
1215,1981-11-01,"Charlottetown, Prince Edward Island",Total (house and land),,11
1221,1981-11-01,"Halifax, Nova Scotia",Total (house and land),,11
1227,1981-11-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,11
1233,1981-11-01,"Québec, Quebec",Total (house and land),32.0,11
1236,1981-11-01,"Sherbrooke, Quebec",Total (house and land),,11
1239,1981-11-01,"Trois-Rivières, Quebec",Total (house and land),,11
1242,1981-11-01,"Montréal, Quebec",Total (house and land),31.2,11
1245,1981-11-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,11
1251,1981-11-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),36.3,11
1254,1981-11-01,"Oshawa, Ontario",Total (house and land),,11
1257,1981-11-01,"Toronto, Ontario",Total (house and land),32.5,11
1260,1981-11-01,"Hamilton, Ontario",Total (house and land),32.7,11
1263,1981-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,11
1266,1981-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,11
1269,1981-11-01,"Guelph, Ontario",Total (house and land),,11
1272,1981-11-01,"London, Ontario",Total (house and land),34.2,11
1275,1981-11-01,"Windsor, Ontario",Total (house and land),58.3,11
1278,1981-11-01,"Greater Sudbury, Ontario",Total (house and land),58.2,11
1287,1981-11-01,"Winnipeg, Manitoba",Total (house and land),29.0,11
1293,1981-11-01,"Regina, Saskatchewan",Total (house and land),22.5,11
1296,1981-11-01,"Saskatoon, Saskatchewan",Total (house and land),35.9,11
1302,1981-11-01,"Calgary, Alberta",Total (house and land),27.4,11
1305,1981-11-01,"Edmonton, Alberta",Total (house and land),37.7,11
1311,1981-11-01,"Kelowna, British Columbia",Total (house and land),,11
1314,1981-11-01,"Vancouver, British Columbia",Total (house and land),78.2,11
1317,1981-11-01,"Victoria, British Columbia",Total (house and land),124.2,11
1326,1981-12-01,Newfoundland and Labrador,Total (house and land),,12
1329,1981-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),37.1,12
1332,1981-12-01,Prince Edward Island,Total (house and land),,12
1335,1981-12-01,"Charlottetown, Prince Edward Island",Total (house and land),,12
1341,1981-12-01,"Halifax, Nova Scotia",Total (house and land),,12
1347,1981-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),57.2,12
1353,1981-12-01,"Québec, Quebec",Total (house and land),32.0,12
1356,1981-12-01,"Sherbrooke, Quebec",Total (house and land),,12
1359,1981-12-01,"Trois-Rivières, Quebec",Total (house and land),,12
1362,1981-12-01,"Montréal, Quebec",Total (house and land),31.5,12
1365,1981-12-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,12
1371,1981-12-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),36.3,12
1374,1981-12-01,"Oshawa, Ontario",Total (house and land),,12
1377,1981-12-01,"Toronto, Ontario",Total (house and land),32.5,12
1380,1981-12-01,"Hamilton, Ontario",Total (house and land),32.7,12
1383,1981-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),31.2,12
1386,1981-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),35.4,12
1389,1981-12-01,"Guelph, Ontario",Total (house and land),,12
1392,1981-12-01,"London, Ontario",Total (house and land),34.2,12
1395,1981-12-01,"Windsor, Ontario",Total (house and land),58.3,12
1398,1981-12-01,"Greater Sudbury, Ontario",Total (house and land),58.2,12
1407,1981-12-01,"Winnipeg, Manitoba",Total (house and land),29.4,12
1413,1981-12-01,"Regina, Saskatchewan",Total (house and land),22.5,12
1416,1981-12-01,"Saskatoon, Saskatchewan",Total (house and land),36.0,12
1422,1981-12-01,"Calgary, Alberta",Total (house and land),27.6,12
1425,1981-12-01,"Edmonton, Alberta",Total (house and land),37.7,12
