,DATE,PLACE,PLOT,VALUE,MONTH
31767,2003-01-01,"Winnipeg, Manitoba",Total (house and land),48.2,1
31773,2003-01-01,"Regina, Saskatchewan",Total (house and land),41.1,1
31776,2003-01-01,"Saskatoon, Saskatchewan",Total (house and land),48.2,1
31782,2003-01-01,"Calgary, Alberta",Total (house and land),47.3,1
31785,2003-01-01,"Edmonton, Alberta",Total (house and land),57.1,1
31791,2003-01-01,"Kelowna, British Columbia",Total (house and land),,1
31794,2003-01-01,"Vancouver, British Columbia",Total (house and land),76.2,1
31797,2003-01-01,"Victoria, British Columbia",Total (house and land),89.1,1
31806,2003-02-01,Newfoundland and Labrador,Total (house and land),53.7,2
31809,2003-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),53.7,2
31812,2003-02-01,Prince Edward Island,Total (house and land),86.9,2
31815,2003-02-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,2
31821,2003-02-01,"Halifax, Nova Scotia",Total (house and land),70.7,2
31827,2003-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),81.2,2
31833,2003-02-01,"Québec, Quebec",Total (house and land),66.1,2
31836,2003-02-01,"Sherbrooke, Quebec",Total (house and land),,2
31839,2003-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
31842,2003-02-01,"Montréal, Quebec",Total (house and land),68.5,2
31845,2003-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
31851,2003-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),73.8,2
31854,2003-02-01,"Oshawa, Ontario",Total (house and land),,2
31857,2003-02-01,"Toronto, Ontario",Total (house and land),59.9,2
31860,2003-02-01,"Hamilton, Ontario",Total (house and land),66.5,2
31863,2003-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),64.8,2
31866,2003-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),71.8,2
31869,2003-02-01,"Guelph, Ontario",Total (house and land),,2
31872,2003-02-01,"London, Ontario",Total (house and land),68.4,2
31875,2003-02-01,"Windsor, Ontario",Total (house and land),93.2,2
31878,2003-02-01,"Greater Sudbury, Ontario",Total (house and land),82.9,2
31887,2003-02-01,"Winnipeg, Manitoba",Total (house and land),48.5,2
31893,2003-02-01,"Regina, Saskatchewan",Total (house and land),41.5,2
31896,2003-02-01,"Saskatoon, Saskatchewan",Total (house and land),48.2,2
31902,2003-02-01,"Calgary, Alberta",Total (house and land),47.5,2
31905,2003-02-01,"Edmonton, Alberta",Total (house and land),57.5,2
31911,2003-02-01,"Kelowna, British Columbia",Total (house and land),,2
31914,2003-02-01,"Vancouver, British Columbia",Total (house and land),76.8,2
31917,2003-02-01,"Victoria, British Columbia",Total (house and land),89.7,2
31926,2003-03-01,Newfoundland and Labrador,Total (house and land),53.7,3
31929,2003-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),53.7,3
31932,2003-03-01,Prince Edward Island,Total (house and land),86.9,3
31935,2003-03-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,3
31941,2003-03-01,"Halifax, Nova Scotia",Total (house and land),70.8,3
31947,2003-03-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),81.2,3
31953,2003-03-01,"Québec, Quebec",Total (house and land),66.2,3
31956,2003-03-01,"Sherbrooke, Quebec",Total (house and land),,3
31959,2003-03-01,"Trois-Rivières, Quebec",Total (house and land),,3
31962,2003-03-01,"Montréal, Quebec",Total (house and land),67.9,3
31965,2003-03-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,3
31971,2003-03-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),73.6,3
31974,2003-03-01,"Oshawa, Ontario",Total (house and land),,3
31977,2003-03-01,"Toronto, Ontario",Total (house and land),60.0,3
31980,2003-03-01,"Hamilton, Ontario",Total (house and land),67.0,3
31983,2003-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),64.7,3
31986,2003-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),71.9,3
31989,2003-03-01,"Guelph, Ontario",Total (house and land),,3
31992,2003-03-01,"London, Ontario",Total (house and land),69.2,3
31995,2003-03-01,"Windsor, Ontario",Total (house and land),93.2,3
31998,2003-03-01,"Greater Sudbury, Ontario",Total (house and land),82.5,3
32007,2003-03-01,"Winnipeg, Manitoba",Total (house and land),48.9,3
32013,2003-03-01,"Regina, Saskatchewan",Total (house and land),41.6,3
32016,2003-03-01,"Saskatoon, Saskatchewan",Total (house and land),48.8,3
32022,2003-03-01,"Calgary, Alberta",Total (house and land),47.8,3
32025,2003-03-01,"Edmonton, Alberta",Total (house and land),57.5,3
32031,2003-03-01,"Kelowna, British Columbia",Total (house and land),,3
32034,2003-03-01,"Vancouver, British Columbia",Total (house and land),77.1,3
32037,2003-03-01,"Victoria, British Columbia",Total (house and land),90.3,3
32046,2003-04-01,Newfoundland and Labrador,Total (house and land),54.0,4
32049,2003-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),54.0,4
32052,2003-04-01,Prince Edward Island,Total (house and land),86.9,4
32055,2003-04-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,4
32061,2003-04-01,"Halifax, Nova Scotia",Total (house and land),72.1,4
32067,2003-04-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),81.2,4
32073,2003-04-01,"Québec, Quebec",Total (house and land),66.9,4
32076,2003-04-01,"Sherbrooke, Quebec",Total (house and land),,4
32079,2003-04-01,"Trois-Rivières, Quebec",Total (house and land),,4
32082,2003-04-01,"Montréal, Quebec",Total (house and land),68.1,4
32085,2003-04-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,4
32091,2003-04-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),73.6,4
32094,2003-04-01,"Oshawa, Ontario",Total (house and land),,4
32097,2003-04-01,"Toronto, Ontario",Total (house and land),60.2,4
32100,2003-04-01,"Hamilton, Ontario",Total (house and land),67.3,4
32103,2003-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),65.1,4
32106,2003-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),71.8,4
32109,2003-04-01,"Guelph, Ontario",Total (house and land),,4
32112,2003-04-01,"London, Ontario",Total (house and land),69.7,4
32115,2003-04-01,"Windsor, Ontario",Total (house and land),93.2,4
32118,2003-04-01,"Greater Sudbury, Ontario",Total (house and land),82.6,4
32127,2003-04-01,"Winnipeg, Manitoba",Total (house and land),49.0,4
32133,2003-04-01,"Regina, Saskatchewan",Total (house and land),41.6,4
32136,2003-04-01,"Saskatoon, Saskatchewan",Total (house and land),49.0,4
32142,2003-04-01,"Calgary, Alberta",Total (house and land),47.9,4
32145,2003-04-01,"Edmonton, Alberta",Total (house and land),57.5,4
32151,2003-04-01,"Kelowna, British Columbia",Total (house and land),,4
32154,2003-04-01,"Vancouver, British Columbia",Total (house and land),77.3,4
32157,2003-04-01,"Victoria, British Columbia",Total (house and land),91.3,4
32166,2003-05-01,Newfoundland and Labrador,Total (house and land),54.1,5
32169,2003-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),54.1,5
32172,2003-05-01,Prince Edward Island,Total (house and land),86.9,5
32175,2003-05-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,5
32181,2003-05-01,"Halifax, Nova Scotia",Total (house and land),72.3,5
32187,2003-05-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.1,5
32193,2003-05-01,"Québec, Quebec",Total (house and land),67.0,5
32196,2003-05-01,"Sherbrooke, Quebec",Total (house and land),,5
32199,2003-05-01,"Trois-Rivières, Quebec",Total (house and land),,5
32202,2003-05-01,"Montréal, Quebec",Total (house and land),68.3,5
32205,2003-05-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,5
32211,2003-05-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),73.7,5
32214,2003-05-01,"Oshawa, Ontario",Total (house and land),,5
32217,2003-05-01,"Toronto, Ontario",Total (house and land),60.8,5
32220,2003-05-01,"Hamilton, Ontario",Total (house and land),67.7,5
32223,2003-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),65.9,5
32226,2003-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),71.9,5
32229,2003-05-01,"Guelph, Ontario",Total (house and land),,5
32232,2003-05-01,"London, Ontario",Total (house and land),69.9,5
32235,2003-05-01,"Windsor, Ontario",Total (house and land),93.2,5
32238,2003-05-01,"Greater Sudbury, Ontario",Total (house and land),82.6,5
32247,2003-05-01,"Winnipeg, Manitoba",Total (house and land),49.0,5
32253,2003-05-01,"Regina, Saskatchewan",Total (house and land),41.6,5
32256,2003-05-01,"Saskatoon, Saskatchewan",Total (house and land),49.0,5
32262,2003-05-01,"Calgary, Alberta",Total (house and land),48.1,5
32265,2003-05-01,"Edmonton, Alberta",Total (house and land),57.6,5
32271,2003-05-01,"Kelowna, British Columbia",Total (house and land),,5
32274,2003-05-01,"Vancouver, British Columbia",Total (house and land),78.0,5
32277,2003-05-01,"Victoria, British Columbia",Total (house and land),91.6,5
32286,2003-06-01,Newfoundland and Labrador,Total (house and land),54.3,6
32289,2003-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),54.3,6
32292,2003-06-01,Prince Edward Island,Total (house and land),86.9,6
32295,2003-06-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,6
32301,2003-06-01,"Halifax, Nova Scotia",Total (house and land),72.3,6
32307,2003-06-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.1,6
32313,2003-06-01,"Québec, Quebec",Total (house and land),67.0,6
32316,2003-06-01,"Sherbrooke, Quebec",Total (house and land),,6
32319,2003-06-01,"Trois-Rivières, Quebec",Total (house and land),,6
32322,2003-06-01,"Montréal, Quebec",Total (house and land),68.5,6
32325,2003-06-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,6
32331,2003-06-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),74.1,6
32334,2003-06-01,"Oshawa, Ontario",Total (house and land),,6
32337,2003-06-01,"Toronto, Ontario",Total (house and land),60.9,6
32340,2003-06-01,"Hamilton, Ontario",Total (house and land),67.6,6
32343,2003-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),66.5,6
32346,2003-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),71.8,6
32349,2003-06-01,"Guelph, Ontario",Total (house and land),,6
32352,2003-06-01,"London, Ontario",Total (house and land),69.9,6
32355,2003-06-01,"Windsor, Ontario",Total (house and land),93.2,6
32358,2003-06-01,"Greater Sudbury, Ontario",Total (house and land),82.6,6
32367,2003-06-01,"Winnipeg, Manitoba",Total (house and land),49.2,6
32373,2003-06-01,"Regina, Saskatchewan",Total (house and land),42.0,6
32376,2003-06-01,"Saskatoon, Saskatchewan",Total (house and land),49.4,6
32382,2003-06-01,"Calgary, Alberta",Total (house and land),48.4,6
32385,2003-06-01,"Edmonton, Alberta",Total (house and land),57.7,6
32391,2003-06-01,"Kelowna, British Columbia",Total (house and land),,6
32394,2003-06-01,"Vancouver, British Columbia",Total (house and land),78.0,6
32397,2003-06-01,"Victoria, British Columbia",Total (house and land),93.1,6
32406,2003-07-01,Newfoundland and Labrador,Total (house and land),54.3,7
32409,2003-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),54.3,7
32412,2003-07-01,Prince Edward Island,Total (house and land),86.9,7
32415,2003-07-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,7
32421,2003-07-01,"Halifax, Nova Scotia",Total (house and land),72.3,7
32427,2003-07-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.2,7
32433,2003-07-01,"Québec, Quebec",Total (house and land),67.0,7
32436,2003-07-01,"Sherbrooke, Quebec",Total (house and land),,7
32439,2003-07-01,"Trois-Rivières, Quebec",Total (house and land),,7
32442,2003-07-01,"Montréal, Quebec",Total (house and land),68.5,7
32445,2003-07-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,7
32451,2003-07-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),74.1,7
32454,2003-07-01,"Oshawa, Ontario",Total (house and land),,7
32457,2003-07-01,"Toronto, Ontario",Total (house and land),61.2,7
32460,2003-07-01,"Hamilton, Ontario",Total (house and land),68.3,7
32463,2003-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),66.6,7
32466,2003-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),72.3,7
32469,2003-07-01,"Guelph, Ontario",Total (house and land),,7
32472,2003-07-01,"London, Ontario",Total (house and land),70.0,7
32475,2003-07-01,"Windsor, Ontario",Total (house and land),93.2,7
32478,2003-07-01,"Greater Sudbury, Ontario",Total (house and land),82.4,7
32487,2003-07-01,"Winnipeg, Manitoba",Total (house and land),49.2,7
32493,2003-07-01,"Regina, Saskatchewan",Total (house and land),42.2,7
32496,2003-07-01,"Saskatoon, Saskatchewan",Total (house and land),49.4,7
32502,2003-07-01,"Calgary, Alberta",Total (house and land),48.4,7
32505,2003-07-01,"Edmonton, Alberta",Total (house and land),57.7,7
32511,2003-07-01,"Kelowna, British Columbia",Total (house and land),,7
32514,2003-07-01,"Vancouver, British Columbia",Total (house and land),78.1,7
32517,2003-07-01,"Victoria, British Columbia",Total (house and land),94.1,7
32526,2003-08-01,Newfoundland and Labrador,Total (house and land),54.5,8
32529,2003-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),54.5,8
32532,2003-08-01,Prince Edward Island,Total (house and land),86.9,8
32535,2003-08-01,"Charlottetown, Prince Edward Island",Total (house and land),86.9,8
32541,2003-08-01,"Halifax, Nova Scotia",Total (house and land),72.3,8
32547,2003-08-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.7,8
32553,2003-08-01,"Québec, Quebec",Total (house and land),68.1,8
32556,2003-08-01,"Sherbrooke, Quebec",Total (house and land),,8
32559,2003-08-01,"Trois-Rivières, Quebec",Total (house and land),,8
32562,2003-08-01,"Montréal, Quebec",Total (house and land),69.5,8
32565,2003-08-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,8
32571,2003-08-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),74.1,8
32574,2003-08-01,"Oshawa, Ontario",Total (house and land),,8
32577,2003-08-01,"Toronto, Ontario",Total (house and land),61.6,8
32580,2003-08-01,"Hamilton, Ontario",Total (house and land),68.9,8
32583,2003-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),67.1,8
32586,2003-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),72.5,8
32589,2003-08-01,"Guelph, Ontario",Total (house and land),,8
32592,2003-08-01,"London, Ontario",Total (house and land),70.0,8
32595,2003-08-01,"Windsor, Ontario",Total (house and land),93.2,8
32598,2003-08-01,"Greater Sudbury, Ontario",Total (house and land),82.6,8
32607,2003-08-01,"Winnipeg, Manitoba",Total (house and land),49.2,8
32613,2003-08-01,"Regina, Saskatchewan",Total (house and land),42.6,8
32616,2003-08-01,"Saskatoon, Saskatchewan",Total (house and land),49.8,8
32622,2003-08-01,"Calgary, Alberta",Total (house and land),48.5,8
32625,2003-08-01,"Edmonton, Alberta",Total (house and land),57.7,8
32631,2003-08-01,"Kelowna, British Columbia",Total (house and land),,8
32634,2003-08-01,"Vancouver, British Columbia",Total (house and land),78.0,8
32637,2003-08-01,"Victoria, British Columbia",Total (house and land),95.4,8
32646,2003-09-01,Newfoundland and Labrador,Total (house and land),55.3,9
32649,2003-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.3,9
32652,2003-09-01,Prince Edward Island,Total (house and land),87.3,9
32655,2003-09-01,"Charlottetown, Prince Edward Island",Total (house and land),87.3,9
32661,2003-09-01,"Halifax, Nova Scotia",Total (house and land),72.3,9
32667,2003-09-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.7,9
32673,2003-09-01,"Québec, Quebec",Total (house and land),69.0,9
32676,2003-09-01,"Sherbrooke, Quebec",Total (house and land),,9
32679,2003-09-01,"Trois-Rivières, Quebec",Total (house and land),,9
32682,2003-09-01,"Montréal, Quebec",Total (house and land),70.0,9
32685,2003-09-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,9
32691,2003-09-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),74.9,9
32694,2003-09-01,"Oshawa, Ontario",Total (house and land),,9
32697,2003-09-01,"Toronto, Ontario",Total (house and land),61.8,9
32700,2003-09-01,"Hamilton, Ontario",Total (house and land),68.7,9
32703,2003-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),67.1,9
32706,2003-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),72.6,9
32709,2003-09-01,"Guelph, Ontario",Total (house and land),,9
32712,2003-09-01,"London, Ontario",Total (house and land),70.1,9
32715,2003-09-01,"Windsor, Ontario",Total (house and land),93.2,9
32718,2003-09-01,"Greater Sudbury, Ontario",Total (house and land),82.7,9
32727,2003-09-01,"Winnipeg, Manitoba",Total (house and land),49.5,9
32733,2003-09-01,"Regina, Saskatchewan",Total (house and land),42.8,9
32736,2003-09-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,9
32742,2003-09-01,"Calgary, Alberta",Total (house and land),48.8,9
32745,2003-09-01,"Edmonton, Alberta",Total (house and land),58.7,9
32751,2003-09-01,"Kelowna, British Columbia",Total (house and land),,9
32754,2003-09-01,"Vancouver, British Columbia",Total (house and land),78.1,9
32757,2003-09-01,"Victoria, British Columbia",Total (house and land),96.0,9
32766,2003-10-01,Newfoundland and Labrador,Total (house and land),55.3,10
32769,2003-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.3,10
32772,2003-10-01,Prince Edward Island,Total (house and land),87.6,10
32775,2003-10-01,"Charlottetown, Prince Edward Island",Total (house and land),87.6,10
32781,2003-10-01,"Halifax, Nova Scotia",Total (house and land),72.3,10
32787,2003-10-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.7,10
32793,2003-10-01,"Québec, Quebec",Total (house and land),69.1,10
32796,2003-10-01,"Sherbrooke, Quebec",Total (house and land),,10
32799,2003-10-01,"Trois-Rivières, Quebec",Total (house and land),,10
32802,2003-10-01,"Montréal, Quebec",Total (house and land),70.5,10
32805,2003-10-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,10
32811,2003-10-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),75.4,10
32814,2003-10-01,"Oshawa, Ontario",Total (house and land),,10
32817,2003-10-01,"Toronto, Ontario",Total (house and land),62.0,10
32820,2003-10-01,"Hamilton, Ontario",Total (house and land),69.0,10
32823,2003-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),67.4,10
32826,2003-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),72.6,10
32829,2003-10-01,"Guelph, Ontario",Total (house and land),,10
32832,2003-10-01,"London, Ontario",Total (house and land),70.1,10
32835,2003-10-01,"Windsor, Ontario",Total (house and land),93.2,10
32838,2003-10-01,"Greater Sudbury, Ontario",Total (house and land),82.9,10
32847,2003-10-01,"Winnipeg, Manitoba",Total (house and land),49.5,10
32853,2003-10-01,"Regina, Saskatchewan",Total (house and land),43.1,10
32856,2003-10-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,10
32862,2003-10-01,"Calgary, Alberta",Total (house and land),49.2,10
32865,2003-10-01,"Edmonton, Alberta",Total (house and land),59.2,10
32871,2003-10-01,"Kelowna, British Columbia",Total (house and land),,10
32874,2003-10-01,"Vancouver, British Columbia",Total (house and land),78.5,10
32877,2003-10-01,"Victoria, British Columbia",Total (house and land),97.0,10
32886,2003-11-01,Newfoundland and Labrador,Total (house and land),55.3,11
32889,2003-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.3,11
32892,2003-11-01,Prince Edward Island,Total (house and land),88.4,11
32895,2003-11-01,"Charlottetown, Prince Edward Island",Total (house and land),88.4,11
32901,2003-11-01,"Halifax, Nova Scotia",Total (house and land),72.3,11
32907,2003-11-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.6,11
32913,2003-11-01,"Québec, Quebec",Total (house and land),70.0,11
32916,2003-11-01,"Sherbrooke, Quebec",Total (house and land),,11
32919,2003-11-01,"Trois-Rivières, Quebec",Total (house and land),,11
32922,2003-11-01,"Montréal, Quebec",Total (house and land),70.9,11
32925,2003-11-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,11
32931,2003-11-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),75.9,11
32934,2003-11-01,"Oshawa, Ontario",Total (house and land),,11
32937,2003-11-01,"Toronto, Ontario",Total (house and land),62.6,11
32940,2003-11-01,"Hamilton, Ontario",Total (house and land),69.3,11
32943,2003-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),68.4,11
32946,2003-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),72.8,11
32949,2003-11-01,"Guelph, Ontario",Total (house and land),,11
32952,2003-11-01,"London, Ontario",Total (house and land),70.8,11
32955,2003-11-01,"Windsor, Ontario",Total (house and land),93.2,11
32958,2003-11-01,"Greater Sudbury, Ontario",Total (house and land),82.9,11
32967,2003-11-01,"Winnipeg, Manitoba",Total (house and land),49.8,11
32973,2003-11-01,"Regina, Saskatchewan",Total (house and land),43.1,11
32976,2003-11-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,11
32982,2003-11-01,"Calgary, Alberta",Total (house and land),49.5,11
32985,2003-11-01,"Edmonton, Alberta",Total (house and land),59.4,11
32991,2003-11-01,"Kelowna, British Columbia",Total (house and land),,11
32994,2003-11-01,"Vancouver, British Columbia",Total (house and land),78.8,11
32997,2003-11-01,"Victoria, British Columbia",Total (house and land),97.6,11
33006,2003-12-01,Newfoundland and Labrador,Total (house and land),55.5,12
33009,2003-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.5,12
33012,2003-12-01,Prince Edward Island,Total (house and land),88.6,12
33015,2003-12-01,"Charlottetown, Prince Edward Island",Total (house and land),88.6,12
33021,2003-12-01,"Halifax, Nova Scotia",Total (house and land),73.2,12
33027,2003-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.7,12
33033,2003-12-01,"Québec, Quebec",Total (house and land),70.0,12
33036,2003-12-01,"Sherbrooke, Quebec",Total (house and land),,12
33039,2003-12-01,"Trois-Rivières, Quebec",Total (house and land),,12
33042,2003-12-01,"Montréal, Quebec",Total (house and land),71.1,12
33045,2003-12-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,12
33051,2003-12-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),76.0,12
33054,2003-12-01,"Oshawa, Ontario",Total (house and land),,12
33057,2003-12-01,"Toronto, Ontario",Total (house and land),62.7,12
33060,2003-12-01,"Hamilton, Ontario",Total (house and land),69.2,12
33063,2003-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),68.4,12
33066,2003-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),73.6,12
33069,2003-12-01,"Guelph, Ontario",Total (house and land),,12
33072,2003-12-01,"London, Ontario",Total (house and land),71.5,12
33075,2003-12-01,"Windsor, Ontario",Total (house and land),93.2,12
33078,2003-12-01,"Greater Sudbury, Ontario",Total (house and land),82.9,12
33087,2003-12-01,"Winnipeg, Manitoba",Total (house and land),50.2,12
33093,2003-12-01,"Regina, Saskatchewan",Total (house and land),43.4,12
33096,2003-12-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,12
33102,2003-12-01,"Calgary, Alberta",Total (house and land),50.0,12
33105,2003-12-01,"Edmonton, Alberta",Total (house and land),59.4,12
33111,2003-12-01,"Kelowna, British Columbia",Total (house and land),,12
33114,2003-12-01,"Vancouver, British Columbia",Total (house and land),78.9,12
33117,2003-12-01,"Victoria, British Columbia",Total (house and land),98.1,12
33126,2004-01-01,Newfoundland and Labrador,Total (house and land),55.4,1
33129,2004-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.4,1
33132,2004-01-01,Prince Edward Island,Total (house and land),88.9,1
33135,2004-01-01,"Charlottetown, Prince Edward Island",Total (house and land),88.9,1
33141,2004-01-01,"Halifax, Nova Scotia",Total (house and land),73.2,1
33147,2004-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.6,1
33153,2004-01-01,"Québec, Quebec",Total (house and land),70.4,1
33156,2004-01-01,"Sherbrooke, Quebec",Total (house and land),,1
33159,2004-01-01,"Trois-Rivières, Quebec",Total (house and land),,1
33162,2004-01-01,"Montréal, Quebec",Total (house and land),71.3,1
33165,2004-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,1
33171,2004-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),76.3,1
33174,2004-01-01,"Oshawa, Ontario",Total (house and land),,1
33177,2004-01-01,"Toronto, Ontario",Total (house and land),62.8,1
33180,2004-01-01,"Hamilton, Ontario",Total (house and land),69.4,1
33183,2004-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),68.6,1
33186,2004-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),73.8,1
33189,2004-01-01,"Guelph, Ontario",Total (house and land),,1
33192,2004-01-01,"London, Ontario",Total (house and land),71.3,1
33195,2004-01-01,"Windsor, Ontario",Total (house and land),93.2,1
33198,2004-01-01,"Greater Sudbury, Ontario",Total (house and land),82.9,1
33207,2004-01-01,"Winnipeg, Manitoba",Total (house and land),50.2,1
33213,2004-01-01,"Regina, Saskatchewan",Total (house and land),43.4,1
33216,2004-01-01,"Saskatoon, Saskatchewan",Total (house and land),50.5,1
33222,2004-01-01,"Calgary, Alberta",Total (house and land),50.1,1
33225,2004-01-01,"Edmonton, Alberta",Total (house and land),59.5,1
33231,2004-01-01,"Kelowna, British Columbia",Total (house and land),,1
33234,2004-01-01,"Vancouver, British Columbia",Total (house and land),80.1,1
33237,2004-01-01,"Victoria, British Columbia",Total (house and land),98.6,1
33246,2004-02-01,Newfoundland and Labrador,Total (house and land),55.7,2
33249,2004-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),55.7,2
33252,2004-02-01,Prince Edward Island,Total (house and land),89.5,2
33255,2004-02-01,"Charlottetown, Prince Edward Island",Total (house and land),89.5,2
33261,2004-02-01,"Halifax, Nova Scotia",Total (house and land),73.2,2
33267,2004-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),82.8,2
33273,2004-02-01,"Québec, Quebec",Total (house and land),70.5,2
33276,2004-02-01,"Sherbrooke, Quebec",Total (house and land),,2
33279,2004-02-01,"Trois-Rivières, Quebec",Total (house and land),,2
33282,2004-02-01,"Montréal, Quebec",Total (house and land),71.7,2
33285,2004-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),,2
33291,2004-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),76.9,2
33294,2004-02-01,"Oshawa, Ontario",Total (house and land),,2
33297,2004-02-01,"Toronto, Ontario",Total (house and land),63.1,2
33300,2004-02-01,"Hamilton, Ontario",Total (house and land),70.0,2
33303,2004-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),68.8,2
33306,2004-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),73.8,2
33309,2004-02-01,"Guelph, Ontario",Total (house and land),,2
33312,2004-02-01,"London, Ontario",Total (house and land),72.6,2
